TID,ENTITY_NAME,COMP_CODE,COMP_NAME,COMP_ADDR1,COMP_ADDR2,COMP_CITY,COMP_State,COMP_PIN,COMP_CLASS,COMP_PANNO,COMP_TANNO,COMP_TDSCIRCLE,SIGN_FNAME,SIGN_LNAME,SIGN_ADDR1,SIGN_ADDR2,SIGN_CITY,SIGN_DSG,Sign_State,SIGN_PIN,SIGN_PLACE,SIGN_DATE,RETIRE_AGE,EMP_CODE_GEN,EMP_CODE_PREFIX,EMP_CODE_LEN,COMP_URL,Status
"4","MYND SOLUTIONS PVT. LTD.","M0002","M1'-EXCHANGE","285 UDYOG VIHAR,","PHASE'-IV,","GURGAON","Haryana","122001","SALARY","","","","","","","","","","Haryana","","","","","NO","","","","Active"
"3","MYND SOLUTIONS PVT. LTD.","M0001","MYND SOLUTION","280 UDYOG VIHAR,","PHASE'-IV,","GURGAON","Haryana","122001","PROFESSIONAL","","","","","","","","","","Haryana","","","","","NO","","","","Active"
